run_id,timestamp_start,timestamp_end,stage,selector_name,backend_name,candidate_pool_size_m,budget_k,depth_p,dataset_manifest_path,config_path,command,solver_name,solver_version,python_version,machine_id,git_commit_or_snapshot,stdout_log_path,stderr_log_path,raw_result_path,status
P5_root_scip_scip_ensemble_external_unseen_test_20260310_205209_072958,2026-03-10T20:52:09.072958,2026-03-10T20:52:09.299826,root,scip-scip_ensemble,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_default_external_unseen_test_20260310_205209_300112,2026-03-10T20:52:09.300112,2026-03-10T20:52:10.243554,root,scip-default,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_efficacy_external_unseen_test_20260310_205210_243738,2026-03-10T20:52:10.243738,2026-03-10T20:52:11.111209,root,scip-efficacy,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_cut_external_unseen_test_20260310_205211_111388,2026-03-10T20:52:11.111388,2026-03-10T20:52:12.323245,root,scip-raise_cut,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_external_unseen_test_20260310_205212_323412,2026-03-10T20:52:12.323412,2026-03-10T20:52:13.619861,root,scip-raise_portfolio,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_rc_external_unseen_test_20260310_205213_620082,2026-03-10T20:52:13.620082,2026-03-10T20:52:14.910203,root,scip-raise_portfolio_rc,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_scip_ensemble_external_unseen_test_20260310_205214_910367,2026-03-10T20:52:14.910367,2026-03-10T20:52:15.857936,root,scip-scip_ensemble,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_default_external_unseen_test_20260310_205215_858729,2026-03-10T20:52:15.858729,2026-03-10T20:52:16.351190,root,scip-default,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_efficacy_external_unseen_test_20260310_205216_351360,2026-03-10T20:52:16.351360,2026-03-10T20:52:16.719672,root,scip-efficacy,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_cut_external_unseen_test_20260310_205216_719834,2026-03-10T20:52:16.719834,2026-03-10T20:52:17.151371,root,scip-raise_cut,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
